material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance
456,Recycled Paper Grade Standard,Recycled Paper,567.1,9.54,89.59,0.812,99.66,0.65,5.67,2.0,7.0
457,Recycled Paper Grade A,Recycled Paper,429.84,3.56,89.76,0.885,95.81,1.35,5.86,,-2.0
458,Recycled Paper Grade A,Recycled Paper,577.09,6.81,87.39,0.959,98.87,0.56,4.47,4.0,3.0
459,Recycled Paper Grade A,Recycled Paper,288.8,14.58,94.4,0.633,96.6,1.07,5.5,3.0,49.0
460,Recycled Paper Grade Economy,Recycled Paper,388.73,15.75,90.32,0.976,96.39,0.78,2.44,4.0,64.0
461,Recycled Paper Grade B,Recycled Paper,568.83,3.71,89.19,0.718,99.4,1.22,2.16,4.0,27.0
462,Recycled Paper Grade Standard,Recycled Paper,303.3,8.32,93.36,0.635,97.32,0.99,2.58,4.0,14.0
463,Recycled Paper Grade A,Recycled Paper,533.63,12.03,91.77,0.9,98.66,1.57,1.73,2.0,-10.0
464,Recycled Paper Grade C,Recycled Paper,623.29,7.03,86.08,1.138,97.5,1.06,2.25,3.0,57.0
465,Recycled Paper Grade Standard,Recycled Paper,324.98,12.74,88.25,0.627,96.36,0.51,5.89,4.0,52.0
466,Recycled Paper Grade Standard,Recycled Paper,289.93,6.59,93.57,1.174,97.2,0.67,2.91,4.0,-5.0
467,Recycled Paper Grade B,Recycled Paper,393.57,16.26,94.98,0.734,97.3,1.06,2.52,,7.0
468,Recycled Paper Grade Premium,Recycled Paper,210.88,18.08,89.2,0.948,99.58,1.51,1.65,4.0,9.0
469,Recycled Paper Grade B,Recycled Paper,554.69,15.31,91.9,0.838,99.02,0.57,1.8,3.0,-6.0
470,Recycled Paper Grade A,Recycled Paper,289.89,3.4,93.35,1.282,95.68,0.8,5.34,2.0,26.0
471,Recycled Paper Grade C,Recycled Paper,615.65,6.63,89.2,0.607,99.29,1.45,5.73,2.0,31.0
472,Recycled Paper Grade C,Recycled Paper,296.5,14.86,88.64,0.996,95.03,0.58,3.68,4.0,56.0
473,Recycled Paper Grade A,Recycled Paper,604.99,9.37,90.5,0.635,97.13,1.58,,2.0,65.0
474,Recycled Paper Grade C,Recycled Paper,286.26,16.89,94.3,0.667,97.25,0.94,5.35,3.0,7.0
475,Recycled Paper Grade B,Recycled Paper,279.23,15.79,85.51,0.945,97.21,0.93,2.97,,36.0
476,Recycled Paper Grade Economy,Recycled Paper,255.84,12.72,93.05,1.132,95.77,0.69,2.34,3.0,
477,Recycled Paper Grade B,Recycled Paper,239.02,5.91,93.27,1.009,96.69,1.54,2.23,3.0,
478,Recycled Paper Grade Economy,Recycled Paper,338.54,8.3,86.22,0.678,98.24,1.64,,2.0,16.0
479,Recycled Paper Grade A,Recycled Paper,567.44,9.75,86.56,1.117,96.8,1.37,2.35,3.0,61.0
480,Recycled Paper Grade C,Recycled Paper,646.51,5.66,94.88,1.284,98.97,1.36,3.89,2.0,15.0
481,Bamboo Fiber Grade Standard,Bamboo Fiber,718.38,19.03,86.19,0.506,76.41,3.99,5.39,5.0,28.0
482,Bamboo Fiber Grade Premium,Bamboo Fiber,1427.88,25.67,88.23,0.578,81.69,2.57,6.91,6.0,70.0
483,Bamboo Fiber Grade Standard,Bamboo Fiber,1378.9,34.76,82.94,0.405,81.48,3.64,7.19,6.0,15.0
484,Bamboo Fiber Grade Economy,Bamboo Fiber,716.61,7.8,89.64,0.368,72.28,6.5,7.66,4.0,5.0
485,Bamboo Fiber Grade B,Bamboo Fiber,405.95,5.04,83.78,0.372,70.28,4.59,7.66,4.0,66.0
486,Bamboo Fiber Grade B,Bamboo Fiber,1127.25,24.57,82.51,0.625,73.19,3.05,6.21,6.0,30.0
487,Bamboo Fiber Grade B,Bamboo Fiber,1496.6,10.5,85.94,0.506,71.9,2.63,5.74,4.0,87.0
488,Bamboo Fiber Grade B,Bamboo Fiber,1326.22,19.48,87.77,0.636,80.86,4.72,5.8,4.0,67.0
489,Bamboo Fiber Grade Premium,Bamboo Fiber,837.67,29.18,85.92,0.383,70.37,4.13,5.28,4.0,7.0
490,Bamboo Fiber Grade A,Bamboo Fiber,540.23,29.01,88.63,0.375,82.77,6.96,6.36,6.0,69.0
491,Bamboo Fiber Grade B,Bamboo Fiber,1493.86,23.16,83.08,0.719,79.22,5.12,3.52,4.0,5.0
492,Bamboo Fiber Grade Economy,Bamboo Fiber,639.68,24.86,86.34,0.597,70.24,5.78,3.94,4.0,76.0
493,Bamboo Fiber Grade C,Bamboo Fiber,1012.24,15.28,81.35,0.347,82.47,6.63,5.9,4.0,16.0
494,Bamboo Fiber Grade Premium,Bamboo Fiber,842.23,26.87,87.8,0.359,70.0,5.7,4.14,6.0,99.0
495,Bamboo Fiber Grade Economy,Bamboo Fiber,414.19,21.21,88.51,0.779,78.49,4.82,2.51,4.0,84.0
496,Bamboo Fiber Grade Economy,Bamboo Fiber,817.98,23.21,83.89,0.42,71.42,3.92,2.58,6.0,28.0
497,Bamboo Fiber Grade B,Bamboo Fiber,1486.07,18.32,85.32,0.737,84.93,5.12,6.87,5.0,42.0
498,Bamboo Fiber Grade C,Bamboo Fiber,736.32,17.08,86.73,0.641,74.73,3.1,5.79,6.0,58.0
499,Bamboo Fiber Grade B,Bamboo Fiber,1036.34,25.8,87.01,0.677,83.09,4.75,6.38,4.0,32.0
500,Bamboo Fiber Grade Economy,Bamboo Fiber,605.3,5.77,82.85,0.522,79.26,6.32,3.18,5.0,79.0
501,Bamboo Fiber Grade A,Bamboo Fiber,518.85,19.35,85.86,0.571,71.29,2.76,,6.0,84.0
502,Bamboo Fiber Grade Premium,Bamboo Fiber,473.36,6.44,82.96,0.766,77.85,3.72,4.4,5.0,31.0
503,Bamboo Fiber Grade A,Bamboo Fiber,569.31,34.31,85.45,0.368,83.4,2.84,7.45,4.0,1.0
504,Bamboo Fiber Grade Premium,Bamboo Fiber,1171.91,21.69,83.59,0.756,70.31,3.92,2.34,4.0,43.0
505,Bamboo Fiber Grade B,Bamboo Fiber,764.49,25.27,83.96,0.678,76.81,4.36,7.61,6.0,34.0
506,Bamboo Fiber Grade B,Bamboo Fiber,532.49,22.54,89.69,0.489,70.93,4.03,5.04,5.0,24.0
507,Bamboo Fiber Grade Premium,Bamboo Fiber,1123.91,34.93,84.52,0.477,76.01,3.02,7.3,6.0,91.0
508,Bamboo Fiber Grade C,Bamboo Fiber,826.0,24.79,84.42,0.624,70.92,6.16,7.64,5.0,70.0
509,Bamboo Fiber Grade C,Bamboo Fiber,1450.02,9.54,84.77,0.601,78.73,4.31,4.03,4.0,97.0
510,Bamboo Fiber Grade B,Bamboo Fiber,830.92,9.88,87.34,0.404,70.88,4.99,5.57,4.0,50.0
511,Bamboo Fiber Grade B,Bamboo Fiber,1034.68,15.36,88.03,0.57,71.19,5.05,7.45,5.0,17.0
512,Bamboo Fiber Grade A,Bamboo Fiber,725.96,9.3,81.51,0.516,78.94,2.86,7.64,5.0,37.0
513,Bamboo Fiber Grade Economy,Bamboo Fiber,1045.29,29.85,80.8,0.538,79.45,6.23,6.7,4.0,60.0
514,Bamboo Fiber Grade B,Bamboo Fiber,1146.34,14.69,89.88,0.463,75.91,5.22,6.81,6.0,90.0
515,Bamboo Fiber Grade Premium,Bamboo Fiber,864.92,34.87,80.1,0.748,72.24,6.04,5.71,6.0,-2.0
516,Bamboo Fiber Grade C,Bamboo Fiber,1361.26,5.39,82.27,0.583,75.27,5.25,2.14,5.0,7.0
517,Bamboo Fiber Grade C,Bamboo Fiber,1059.41,32.07,83.83,0.408,76.64,2.72,6.92,6.0,71.0
518,Bamboo Fiber Grade A,Bamboo Fiber,690.92,20.11,80.68,0.409,84.03,4.6,4.67,4.0,44.0
519,Bamboo Fiber Grade C,Bamboo Fiber,672.14,30.99,81.65,0.508,70.21,4.65,2.13,5.0,21.0
520,Bamboo Fiber Grade C,Bamboo Fiber,1307.34,28.63,82.83,0.719,78.14,4.18,5.75,6.0,-8.0
521,Bamboo Fiber Grade Economy,Bamboo Fiber,602.9,11.07,83.87,0.326,75.97,4.8,4.9,6.0,73.0
522,Bamboo Fiber Grade Standard,Bamboo Fiber,921.88,5.22,80.26,0.577,77.81,6.98,3.21,5.0,66.0
523,Bamboo Fiber Grade Premium,Bamboo Fiber,524.89,32.53,87.78,0.711,83.54,4.86,4.71,5.0,96.0
524,Bamboo Fiber Grade Economy,Bamboo Fiber,1048.14,18.63,84.52,0.768,84.76,6.08,6.54,5.0,30.0
525,Bamboo Fiber Grade Standard,Bamboo Fiber,582.68,6.77,86.91,0.664,70.7,6.68,2.55,5.0,48.0
526,Bamboo Fiber Grade C,Bamboo Fiber,404.61,25.11,86.42,0.505,77.34,4.37,2.14,4.0,57.0
527,Bamboo Fiber Grade A,Bamboo Fiber,594.79,7.95,89.57,0.6,80.93,3.92,4.36,4.0,58.0
528,Bamboo Fiber Grade A,Bamboo Fiber,506.66,10.37,87.98,0.639,78.2,4.64,7.53,,66.0
529,Bamboo Fiber Grade C,Bamboo Fiber,708.66,15.5,87.82,0.796,73.61,6.43,6.98,4.0,54.0
530,Bamboo Fiber Grade B,Bamboo Fiber,850.64,34.35,81.81,0.7,75.01,5.79,4.52,6.0,22.0
531,Bamboo Fiber Grade Standard,Bamboo Fiber,1315.87,29.12,88.66,0.33,80.38,3.13,4.49,5.0,66.0
532,Bamboo Fiber Grade C,Bamboo Fiber,1080.47,22.06,80.59,0.616,81.53,6.97,2.07,6.0,75.0
533,Bamboo Fiber Grade A,Bamboo Fiber,1367.56,32.21,89.92,0.404,75.33,5.51,4.9,6.0,85.0
534,Bamboo Fiber Grade A,Bamboo Fiber,793.59,22.81,85.76,0.381,77.08,4.99,5.42,5.0,77.0
535,Bamboo Fiber Grade Standard,Bamboo Fiber,1216.5,5.76,83.55,0.69,78.46,3.68,6.17,4.0,46.0
536,Bamboo Fiber Grade Premium,Bamboo Fiber,1275.87,27.05,86.1,0.544,72.0,3.68,4.51,4.0,17.0
537,Bamboo Fiber Grade C,Bamboo Fiber,965.08,13.65,80.06,0.548,74.28,5.81,2.14,5.0,55.0
538,Bamboo Fiber Grade Economy,Bamboo Fiber,1435.62,10.23,84.72,0.346,79.39,4.98,4.44,,24.0
539,Bamboo Fiber Grade C,Bamboo Fiber,1386.23,10.89,80.23,0.731,78.66,6.51,5.58,6.0,12.0
540,Bamboo Fiber Grade Premium,Bamboo Fiber,872.64,27.5,89.13,0.586,72.71,3.71,3.19,6.0,7.0
541,Bamboo Fiber Grade Standard,Bamboo Fiber,737.06,21.65,85.88,0.513,79.23,2.87,2.53,5.0,-1.0
542,Bamboo Fiber Grade Standard,Bamboo Fiber,969.89,11.42,82.83,0.5,82.18,2.56,,4.0,98.0
543,Bamboo Fiber Grade A,Bamboo Fiber,1278.52,32.98,80.2,0.377,83.29,4.56,,5.0,-9.0
544,Bamboo Fiber Grade Premium,Bamboo Fiber,1297.69,5.57,87.36,0.404,71.99,5.37,3.92,4.0,83.0
545,Bamboo Fiber Grade Standard,Bamboo Fiber,681.81,11.62,81.38,0.73,77.5,5.54,3.43,4.0,41.0
546,Bamboo Fiber Grade B,Bamboo Fiber,963.44,25.41,89.32,0.61,82.06,2.88,4.32,5.0,40.0
547,Bamboo Fiber Grade C,Bamboo Fiber,1374.92,9.54,81.52,0.464,70.82,3.32,7.79,5.0,92.0
548,Bamboo Fiber Grade A,Bamboo Fiber,1095.22,26.78,83.67,0.374,73.1,3.91,5.82,5.0,48.0
549,Bamboo Fiber Grade Economy,Bamboo Fiber,407.5,20.7,89.22,0.706,82.38,6.08,3.94,6.0,44.0
550,Bamboo Fiber Grade Premium,Bamboo Fiber,557.48,24.73,86.42,0.313,81.82,6.56,3.6,6.0,61.0
551,Bamboo Fiber Grade A,Bamboo Fiber,490.65,23.0,84.86,0.573,83.89,6.42,6.71,4.0,-5.0
552,Bamboo Fiber Grade Standard,Bamboo Fiber,1159.36,33.35,86.83,0.466,77.51,5.41,5.06,6.0,87.0
553,Bamboo Fiber Grade Standard,Bamboo Fiber,470.05,10.31,80.05,0.523,71.26,5.57,3.41,6.0,61.0
554,Bamboo Fiber Grade Economy,Bamboo Fiber,1358.38,13.68,87.83,0.702,84.8,5.19,2.49,5.0,57.0
555,Bamboo Fiber Grade Economy,Bamboo Fiber,1087.48,24.15,83.07,0.73,84.39,3.48,,6.0,30.0
556,Bamboo Fiber Grade Economy,Bamboo Fiber,1302.61,25.3,86.36,0.501,78.67,3.89,,4.0,37.0
557,Bamboo Fiber Grade Economy,Bamboo Fiber,1312.52,26.28,81.05,0.719,80.07,5.64,4.18,4.0,13.0
558,Bamboo Fiber Grade Economy,Bamboo Fiber,553.17,23.36,83.06,0.463,71.06,4.07,7.17,,-3.0
559,Bamboo Fiber Grade B,Bamboo Fiber,1164.71,23.89,88.63,0.366,84.66,5.12,7.97,4.0,2.0
560,Bamboo Fiber Grade C,Bamboo Fiber,1473.36,16.07,83.57,0.472,77.81,4.48,7.28,6.0,53.0
561,Hemp Packaging Grade Premium,Hemp Packaging,832.37,7.32,94.83,0.525,76.1,5.92,4.98,3.0,68.0
562,Hemp Packaging Grade A,Hemp Packaging,751.08,22.84,86.96,0.81,84.73,4.77,4.29,4.0,-14.0
563,Hemp Packaging Grade Economy,Hemp Packaging,1234.28,19.86,92.46,0.556,87.68,4.02,2.01,,89.0
564,Hemp Packaging Grade C,Hemp Packaging,892.22,15.49,93.62,0.453,83.31,5.21,3.41,4.0,39.0
565,Hemp Packaging Grade Standard,Hemp Packaging,1065.21,21.59,93.76,0.761,78.48,6.12,3.54,3.0,66.0
566,Hemp Packaging Grade C,Hemp Packaging,419.35,21.86,92.11,0.517,86.24,7.11,2.54,4.0,71.0
567,Hemp Packaging Grade Economy,Hemp Packaging,1062.75,10.59,91.25,0.441,81.78,6.27,5.43,3.0,26.0
568,Hemp Packaging Grade A,Hemp Packaging,1183.58,22.56,91.72,0.416,83.02,2.98,6.04,4.0,90.0
569,Hemp Packaging Grade Economy,Hemp Packaging,884.31,10.71,92.83,0.843,80.98,6.86,3.34,4.0,62.0
570,Hemp Packaging Grade C,Hemp Packaging,1165.82,11.82,94.54,0.461,75.27,7.05,2.34,3.0,38.0
571,Hemp Packaging Grade Standard,Hemp Packaging,579.11,9.61,85.68,0.494,83.33,4.17,4.09,4.0,77.0
572,Hemp Packaging Grade C,Hemp Packaging,1182.11,25.73,89.93,0.565,76.6,7.28,2.3,5.0,1.0
573,Hemp Packaging Grade Economy,Hemp Packaging,648.9,20.18,93.44,0.858,85.77,4.13,3.63,4.0,19.0
574,Hemp Packaging Grade Premium,Hemp Packaging,1072.84,5.03,93.65,0.459,77.58,5.04,5.69,5.0,45.0
575,Hemp Packaging Grade C,Hemp Packaging,808.71,9.09,86.16,0.818,82.54,2.87,6.01,5.0,28.0
576,Hemp Packaging Grade Premium,Hemp Packaging,925.63,16.09,93.78,0.876,86.32,4.89,4.96,4.0,-6.0
577,Hemp Packaging Grade Economy,Hemp Packaging,534.56,14.73,93.3,0.727,81.17,5.92,2.59,4.0,54.0
578,Hemp Packaging Grade C,Hemp Packaging,1103.47,9.29,86.86,0.875,78.15,4.03,6.85,3.0,63.0
579,Hemp Packaging Grade Standard,Hemp Packaging,1014.62,24.47,86.16,0.753,82.56,6.7,4.54,4.0,64.0
580,Hemp Packaging Grade B,Hemp Packaging,1086.47,12.22,91.28,0.496,77.19,7.21,6.59,5.0,42.0
581,Hemp Packaging Grade B,Hemp Packaging,944.16,23.4,85.69,0.567,79.71,5.79,3.78,5.0,74.0
582,Hemp Packaging Grade Premium,Hemp Packaging,916.64,23.55,88.82,0.466,77.95,3.92,3.5,3.0,16.0
583,Hemp Packaging Grade Economy,Hemp Packaging,694.38,23.78,87.04,0.635,87.01,3.65,2.55,5.0,-3.0
584,Hemp Packaging Grade Premium,Hemp Packaging,675.78,20.41,85.25,0.745,79.74,3.06,,5.0,22.0
585,Hemp Packaging Grade Economy,Hemp Packaging,542.04,17.09,87.07,0.672,78.47,6.79,3.99,4.0,72.0
586,Hemp Packaging Grade Economy,Hemp Packaging,642.3,26.23,86.62,0.883,78.09,6.29,4.73,5.0,13.0
587,Hemp Packaging Grade B,Hemp Packaging,876.29,16.83,86.95,0.483,88.75,4.34,3.86,3.0,13.0
588,Hemp Packaging Grade Standard,Hemp Packaging,671.88,26.85,92.38,0.699,88.21,3.03,3.29,,76.0
589,Hemp Packaging Grade Standard,Hemp Packaging,565.63,21.85,94.19,0.612,80.13,7.32,4.22,3.0,-13.0
590,Hemp Packaging Grade C,Hemp Packaging,684.07,25.83,90.69,0.781,87.18,4.41,4.17,5.0,10.0
591,Hemp Packaging Grade Premium,Hemp Packaging,695.09,23.05,94.41,0.712,86.12,6.58,6.23,4.0,-15.0
592,Hemp Packaging Grade Standard,Hemp Packaging,398.7,13.65,91.74,0.625,86.23,4.48,5.17,5.0,89.0
593,Hemp Packaging Grade A,Hemp Packaging,558.17,6.71,90.96,0.642,75.4,4.59,2.53,3.0,10.0
594,Hemp Packaging Grade C,Hemp Packaging,1259.28,14.25,89.75,0.849,82.88,6.12,3.26,4.0,92.0
595,Hemp Packaging Grade C,Hemp Packaging,467.28,8.94,85.01,0.42,89.66,3.94,5.32,4.0,32.0
596,Hemp Packaging Grade B,Hemp Packaging,873.13,7.68,92.28,0.7,85.97,6.42,6.88,5.0,18.0
597,Hemp Packaging Grade Premium,Hemp Packaging,1239.89,16.38,89.97,0.489,76.62,6.76,5.07,3.0,35.0
598,Hemp Packaging Grade Standard,Hemp Packaging,532.15,17.33,90.84,0.503,87.77,3.2,3.78,3.0,-5.0
599,Hemp Packaging Grade Standard,Hemp Packaging,610.41,23.86,92.4,0.795,76.79,3.46,3.43,4.0,5.0
600,Hemp Packaging Grade Economy,Hemp Packaging,1060.62,24.08,92.04,0.864,86.08,4.24,3.33,4.0,-4.0
601,Hemp Packaging Grade C,Hemp Packaging,533.23,6.23,90.32,0.811,76.52,6.52,6.06,3.0,-4.0
602,Hemp Packaging Grade Premium,Hemp Packaging,404.44,8.19,92.07,0.756,88.48,5.54,2.62,3.0,58.0
603,Hemp Packaging Grade Premium,Hemp Packaging,912.13,8.61,91.67,0.712,84.04,5.1,4.64,5.0,37.0
604,Hemp Packaging Grade Premium,Hemp Packaging,1041.61,23.52,87.57,0.787,80.78,5.18,6.28,,69.0
605,Hemp Packaging Grade Economy,Hemp Packaging,1114.86,7.28,85.7,0.847,80.82,4.15,5.62,4.0,45.0
606,Hemp Packaging Grade B,Hemp Packaging,801.03,12.07,94.21,0.406,83.29,6.28,4.43,4.0,56.0
607,Hemp Packaging Grade Standard,Hemp Packaging,670.4,8.31,87.81,0.629,82.13,6.48,5.75,4.0,11.0
608,Hemp Packaging Grade Premium,Hemp Packaging,592.59,23.87,88.78,0.891,81.99,6.52,4.01,4.0,71.0
609,Hemp Packaging Grade Economy,Hemp Packaging,462.07,5.08,89.38,0.822,78.94,4.78,2.2,5.0,35.0
610,Hemp Packaging Grade B,Hemp Packaging,898.73,17.7,88.32,0.558,76.6,4.52,2.5,3.0,-5.0
611,Hemp Packaging Grade Economy,Hemp Packaging,1175.13,17.55,90.17,0.542,82.76,6.79,5.43,4.0,3.0
612,Hemp Packaging Grade A,Hemp Packaging,541.39,10.37,86.7,0.448,81.29,3.33,2.86,3.0,10.0
613,Hemp Packaging Grade C,Hemp Packaging,869.09,9.99,88.43,0.826,83.39,5.22,2.5,5.0,92.0
614,Hemp Packaging Grade Standard,Hemp Packaging,1265.5,13.05,91.03,0.44,85.25,7.18,4.88,5.0,24.0
615,Hemp Packaging Grade Economy,Hemp Packaging,1058.87,23.25,86.61,0.669,77.88,6.18,3.36,4.0,34.0
616,Hemp Packaging Grade Economy,Hemp Packaging,1152.72,15.43,91.7,0.601,79.47,5.74,2.77,4.0,49.0
617,Hemp Packaging Grade Standard,Hemp Packaging,548.59,20.7,94.44,0.898,81.75,3.99,4.21,,24.0
618,Hemp Packaging Grade C,Hemp Packaging,545.71,26.85,88.42,0.893,87.58,6.6,3.59,4.0,85.0
619,Hemp Packaging Grade A,Hemp Packaging,636.72,4.9,90.05,0.602,84.52,5.72,2.6,4.0,94.0
620,Hemp Packaging Grade B,Hemp Packaging,527.58,14.69,89.88,0.807,76.49,4.81,5.14,5.0,
621,Hemp Packaging Grade Economy,Hemp Packaging,946.09,26.17,94.98,0.416,78.53,4.26,4.0,4.0,35.0
622,Hemp Packaging Grade C,Hemp Packaging,543.31,26.91,94.19,0.423,80.08,4.7,3.2,3.0,51.0
623,Hemp Packaging Grade B,Hemp Packaging,958.36,24.41,92.41,0.671,84.8,4.09,,3.0,25.0
624,Hemp Packaging Grade B,Hemp Packaging,476.68,9.82,87.92,0.862,78.46,4.16,3.85,4.0,1.0
625,Hemp Packaging Grade B,Hemp Packaging,729.98,5.38,90.83,0.842,77.28,5.61,5.32,4.0,-12.0
626,Hemp Packaging Grade A,Hemp Packaging,1016.04,13.86,90.05,0.404,85.38,5.91,2.19,5.0,24.0
627,Hemp Packaging Grade A,Hemp Packaging,645.18,16.35,93.57,0.633,80.4,5.32,5.59,5.0,52.0
628,Hemp Packaging Grade B,Hemp Packaging,1241.93,11.08,89.75,0.778,85.34,6.86,6.98,3.0,60.0
629,Hemp Packaging Grade Premium,Hemp Packaging,872.23,14.01,93.78,0.502,87.4,5.42,2.27,3.0,5.0
630,Hemp Packaging Grade Standard,Hemp Packaging,626.33,15.27,93.58,0.552,77.89,3.41,,5.0,93.0
631,Hemp Packaging Grade A,Hemp Packaging,541.34,4.23,85.75,0.588,87.31,2.83,4.28,3.0,61.0
632,Hemp Packaging Grade Premium,Hemp Packaging,399.86,14.81,87.55,0.576,85.58,5.25,2.62,3.0,87.0
633,Hemp Packaging Grade Premium,Hemp Packaging,954.12,22.38,85.79,0.424,75.29,3.69,4.07,4.0,27.0
634,Hemp Packaging Grade Economy,Hemp Packaging,375.75,22.8,85.11,0.781,88.4,4.83,4.68,4.0,92.0
635,Hemp Packaging Grade Standard,Hemp Packaging,719.75,25.3,93.94,0.568,84.23,7.16,6.81,5.0,4.0
636,Hemp Packaging Grade B,Hemp Packaging,869.94,25.37,87.63,0.636,79.86,7.28,6.12,3.0,49.0
637,Hemp Packaging Grade Economy,Hemp Packaging,908.25,23.69,88.92,0.624,85.95,4.48,2.32,3.0,82.0
638,Hemp Packaging Grade Economy,Hemp Packaging,638.06,27.2,94.45,0.567,83.56,7.08,2.03,,3.0
639,Hemp Packaging Grade Premium,Hemp Packaging,1250.95,6.19,86.61,0.88,83.06,2.87,3.29,5.0,46.0
640,Hemp Packaging Grade Premium,Hemp Packaging,1008.26,21.6,94.95,0.544,83.07,5.31,4.03,3.0,-12.0
641,Seaweed Packaging Grade Premium,Seaweed Packaging,492.11,8.68,97.49,0.281,9.55,7.26,2.24,7.0,31.0
642,Seaweed Packaging Grade B,Seaweed Packaging,496.6,6.5,96.85,0.332,8.41,6.31,1.37,6.0,4.0
643,Seaweed Packaging Grade B,Seaweed Packaging,161.34,4.02,97.57,0.339,11.76,8.23,0.97,6.0,-10.0
644,Seaweed Packaging Grade Economy,Seaweed Packaging,232.6,2.29,95.93,0.155,15.26,9.07,0.7,,
645,Seaweed Packaging Grade Economy,Seaweed Packaging,455.38,3.2,97.25,0.378,18.2,6.33,0.83,8.0,-2.0
646,Seaweed Packaging Grade A,Seaweed Packaging,453.47,3.2,99.83,0.387,9.95,6.09,2.74,6.0,17.0
647,Seaweed Packaging Grade A,Seaweed Packaging,262.35,5.73,98.44,0.182,19.73,4.31,0.62,6.0,-10.0
648,Seaweed Packaging Grade Premium,Seaweed Packaging,411.55,1.43,99.74,0.313,5.14,8.58,1.79,7.0,63.0
649,Seaweed Packaging Grade B,Seaweed Packaging,332.87,6.77,98.93,0.222,5.05,9.1,1.45,8.0,23.0
650,Seaweed Packaging Grade B,Seaweed Packaging,172.43,6.37,98.7,0.163,21.83,4.18,2.61,7.0,21.0
651,Seaweed Packaging Grade Economy,Seaweed Packaging,226.16,2.2,99.77,0.122,8.98,6.09,,7.0,-7.0
652,Seaweed Packaging Grade Standard,Seaweed Packaging,181.35,7.44,96.36,0.328,19.45,4.04,1.77,6.0,13.0
653,Seaweed Packaging Grade Premium,Seaweed Packaging,453.18,8.84,97.09,0.233,11.07,8.3,1.4,6.0,29.0
654,Seaweed Packaging Grade A,Seaweed Packaging,182.02,7.72,95.06,0.293,8.66,5.39,,7.0,66.0
655,Seaweed Packaging Grade Standard,Seaweed Packaging,293.21,3.96,98.47,0.33,11.08,8.87,1.23,7.0,
656,Seaweed Packaging Grade B,Seaweed Packaging,404.46,7.24,99.94,0.168,18.25,7.66,2.79,6.0,46.0
657,Seaweed Packaging Grade A,Seaweed Packaging,413.13,6.11,96.37,0.242,11.68,7.48,2.72,7.0,23.0
658,Seaweed Packaging Grade Premium,Seaweed Packaging,305.62,1.24,97.25,0.189,23.59,4.75,2.13,7.0,39.0
659,Seaweed Packaging Grade B,Seaweed Packaging,306.16,5.99,96.49,0.237,8.27,5.82,2.05,7.0,-9.0
660,Seaweed Packaging Grade Premium,Seaweed Packaging,464.91,6.66,97.19,0.112,14.99,8.59,1.16,7.0,-6.0
661,Seaweed Packaging Grade Economy,Seaweed Packaging,162.03,6.75,95.41,0.231,10.85,7.27,0.83,7.0,5.0
662,Seaweed Packaging Grade Standard,Seaweed Packaging,186.51,2.31,99.39,0.258,14.35,4.64,2.12,6.0,34.0
663,Seaweed Packaging Grade Standard,Seaweed Packaging,409.8,6.79,96.58,0.286,9.4,6.67,2.75,8.0,27.0
664,Seaweed Packaging Grade Standard,Seaweed Packaging,285.34,8.39,99.85,0.236,15.14,7.43,2.83,7.0,40.0
665,Seaweed Packaging Grade C,Seaweed Packaging,302.87,5.18,98.95,0.281,18.08,9.99,0.69,6.0,10.0
666,Seaweed Packaging Grade Premium,Seaweed Packaging,292.76,4.13,95.11,0.128,18.62,9.28,1.79,8.0,20.0
667,Seaweed Packaging Grade Standard,Seaweed Packaging,239.28,7.91,98.76,0.277,9.25,4.58,0.66,,53.0
668,Seaweed Packaging Grade Economy,Seaweed Packaging,438.76,8.72,97.32,0.335,23.94,5.65,1.49,6.0,38.0
669,Seaweed Packaging Grade Standard,Seaweed Packaging,268.38,9.22,99.91,0.299,21.34,8.5,2.25,8.0,15.0
670,Seaweed Packaging Grade Premium,Seaweed Packaging,260.48,2.13,98.28,0.112,16.95,9.22,2.73,,10.0
671,Seaweed Packaging Grade Standard,Seaweed Packaging,454.27,7.63,97.51,0.272,7.74,9.63,1.38,6.0,60.0
672,Seaweed Packaging Grade Premium,Seaweed Packaging,217.37,1.92,99.56,0.346,20.2,4.29,2.61,8.0,-2.0
673,Seaweed Packaging Grade B,Seaweed Packaging,181.97,7.81,97.91,0.156,8.76,5.11,0.64,8.0,30.0
674,Seaweed Packaging Grade Economy,Seaweed Packaging,444.12,1.16,95.25,0.272,21.39,5.96,1.37,8.0,66.0
675,Seaweed Packaging Grade Premium,Seaweed Packaging,159.31,7.62,98.13,0.274,19.83,8.05,1.01,6.0,16.0
676,Seaweed Packaging Grade Premium,Seaweed Packaging,392.85,3.75,98.8,0.286,6.55,7.08,,6.0,56.0
677,Seaweed Packaging Grade C,Seaweed Packaging,360.79,3.9,98.88,0.121,18.21,8.86,2.18,8.0,13.0
678,Seaweed Packaging Grade B,Seaweed Packaging,250.15,6.76,96.57,0.387,5.67,7.48,0.92,7.0,44.0
679,Seaweed Packaging Grade Economy,Seaweed Packaging,211.56,3.12,97.47,0.374,9.23,4.87,2.4,8.0,43.0
680,Seaweed Packaging Grade C,Seaweed Packaging,463.28,6.17,96.75,0.35,14.87,9.47,2.82,6.0,-1.0
