id,material,weight,cost,co2_emission,recyclable,durability,co2_impact_index,cost_efficiency_index,sustainability_score
456,Cassava Starch Polymer Industrial Large,20.3,9.8,0.53,1,8,0.33438485804416407,0.15294117647058825,0.8062460567823344
457,Bio-PET Composite Blend,17.3,6.6,0.6,1,8,0.3785488958990536,0.30124777183600715,0.7885804416403785
458,Paper Laminated Blend Small,48.7,4.9,0.47,1,6,0.29652996845425866,0.30588235294117644,0.7613880126182966
459,Mushroom Packaging Blend Sheet,37.8,2.5,0.77,1,5,0.4858044164037855,0.5964705882352942,0.6556782334384857
460,Bagasse Bioplastic Recycled Sheet,16.9,4.4,0.37,1,5,0.2334384858044164,0.2728609625668449,0.7566246056782334
461,Foam (EPS) Industrial Small,18.3,4.2,1.585,0,6,1.0,0.3823529411764706,0.18
462,Aluminum Can Lightweight Small,46.0,6.1,1.585,1,7,1.0,0.27704918032786896,0.51
463,Cassava Starch Polymer Lightweight Sheet,11.0,6.6,0.96,1,6,0.6056782334384858,0.18770053475935833,0.6377287066246057
464,Tapioca Polymer HeavyDuty,39.5,6.7,0.62,1,9,0.3911671924290221,0.35039508340649694,0.8135331230283912
465,Rice Straw Pulp Consumer Sheet,27.3,3.0,0.48,1,5,0.3028391167192429,0.4715686274509805,0.7288643533123028
466,Bagasse Bioplastic Lightweight Fiber,15.9,6.9,1.02,1,4,0.6435331230283912,0.06427962489343567,0.5625867507886435
467,Hemp Bioplastic Blend,13.9,4.8,0.84,1,6,0.5299684542586751,0.3154411764705883,0.66801261829653
468,Cotton Waste Composite Pack,22.1,4.5,0.61,1,8,0.38485804416403785,0.513202614379085,0.7860567823343848
469,Hemp Bioplastic Lightweight Large,6.9,6.8,0.86,1,4,0.5425867507886435,0.06747404844290661,0.6029652996845426
470,Foam (EPS) Industrial Large,15.2,4.7,1.585,0,6,1.0,0.32540675844806005,0.18
471,Leaf-Pulp Shell Lightweight Sheet,21.4,6.9,0.58,1,7,0.3659305993690852,0.2271952259164535,0.7636277602523659
472,Leaf-Pulp Shell Consumer Sheet,33.8,6.2,0.33,1,8,0.2082018927444795,0.33055028462998104,0.8567192429022081
473,Palm Leaf Recycled Large,15.1,6.8,0.75,1,8,0.47318611987381703,0.2878892733564014,0.7507255520504732
474,Tapioca Polymer Blend,19.1,5.9,1.11,1,7,0.7003154574132493,0.29162512462612167,0.6298738170347002
475,Corn Bagasse Blend Recycled,9.7,7.2,0.44,1,6,0.277602523659306,0.1593137254901961,0.7689589905362775
476,Wheat Straw Fiber Recycled Pack,26.4,5.0,0.22,1,7,0.138801261829653,0.37164705882352944,0.8544794952681387
477,Cotton-Pulp Composite Composite Sheet,23.5,6.3,0.41,1,6,0.2586750788643533,0.20392156862745106,0.7765299684542586
478,Paper HeavyDuty Medium,34.2,6.8,0.44,1,6,0.277602523659306,0.177681660899654,0.7689589905362775
479,Sunflower Husk Fiber Blend Small,11.8,5.3,0.29,1,6,0.1829652996845426,0.2712541620421754,0.806813880126183
480,Sugarcane Bagasse Standard Small,53.837500000000006,4.0,0.33,1,7,0.2082018927444795,0.5027941176470588,0.8267192429022081
481,Palm Fiber Polymer Consumer Large,24.6,6.7,0.41,1,8,0.2586750788643533,0.294468832309043,0.8365299684542586
482,Paper-Pulp Mold Blend Blend,46.7,4.1,0.78,1,5,0.49211356466876977,0.3040172166427548,0.6531545741324921
483,Bio-based Nylon HeavyDuty Sheet,18.1,5.4,0.4,1,6,0.2523659305993691,0.26339869281045747,0.7790536277602524
484,Leaf-Based Polymer Composite Small,29.4,8.7,1.15,1,8,0.725552050473186,0.1916159567275187,0.6497791798107255
485,Kenaf-Pulp Blend Standard Medium,18.1,3.2,0.27,1,6,0.17034700315457416,0.5496323529411765,0.8118611987381703
486,Bamboo Fiber,14.8,4.4,0.93,1,7,0.5867507886435331,0.4431818181818182,0.6752996845425867
487,Sugar Palm Fiber Lightweight Pack,15.7,4.1,0.59,1,7,0.37223974763406936,0.48680057388809195,0.7611041009463723
488,Bio-cellulose Film Blend Blend,11.2,5.5,0.62,1,6,0.3911671924290221,0.25582887700534757,0.7235331230283912
489,Corn Bagasse Blend Industrial Fiber,44.6,7.0,0.9,1,9,0.5678233438485805,0.3288235294117648,0.7428706624605679
490,Reed Fiber Premium Small,31.3,7.5,0.7,1,8,0.4416403785488959,0.2467450980392157,0.7633438485804417
491,PLA-Bamboo Blend Blend Small,15.7,6.5,0.91,1,7,0.5741324921135647,0.25058823529411767,0.6803470031545741
492,Cotton Waste Composite Blend,20.4,3.9,0.66,1,8,0.416403785488959,0.6156862745098041,0.7734384858044163
493,Pineapple Leaf Fiber Recycled,27.5,5.5,0.56,1,6,0.35331230283911674,0.25582887700534757,0.7386750788643532
494,Recycled Plastic Mix Blend,18.9,6.2,0.45,1,6,0.28391167192429023,0.20967741935483875,0.7664353312302838
495,Paper Premium Pack,40.1,6.2,0.6,1,8,0.3785488958990536,0.33055028462998104,0.7885804416403785
496,Pine Needle Composite HeavyDuty Pack,38.2,4.0,0.83,1,6,0.5236593059936908,0.4091176470588236,0.6705362776025237
497,Jute-Poly Blend Composite Small,26.1,6.4,0.59,1,6,0.37223974763406936,0.19834558823529413,0.7311041009463723
498,Paper Industrial Fiber,29.5,7.9,0.49,1,7,0.30914826498422715,0.17907669396872675,0.7863406940063091
499,Corn Starch Polymer HeavyDuty Fiber,15.2,7.0,0.37,1,9,0.2334384858044164,0.3288235294117648,0.8766246056782334
500,Coffee Husk Polymer Premium Sheet,33.9,4.3,1.28,1,7,0.8075709779179812,0.45704514363885096,0.5869716088328075
