Material_ID,Material_Type,Product_Category,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Availability_Status
MAT03665,Recycled Copper,Bags & Luggage,142.57,43.15,64.0,8.22,74.6,Supplier A,GOTS,1126.31,Pre-Order
MAT03666,Mushroom Composite,Sports Equipment,271.56,6.76,32.9,3.58,9.5,Supplier B,Cradle to Cradle,4021.35,Low Stock
MAT03667,Recycled Metal,Bags & Luggage,143.34,50.04,60.7,1.21,3.3,Supplier A,GOTS,1471.59,In Stock
MAT03668,Sustainable Bamboo,Footwear,199.19,83.37,68.7,7.27,73.3,Supplier A,EcoCert,328.68,Pre-Order
MAT03669,Recycled Paper,Food Packaging,230.86,52.39,95.1,4.24,44.1,Supplier B,None,3187.2,Low Stock
MAT03670,Recycled Copper,Kitchen Utensils,148.7,84.61,80.3,3.86,57.4,Supplier E,EcoCert,4027.99,Low Stock
MAT03671,Organic Cotton,Furniture,62.58,53.58,95.7,5.98,6.8,Supplier A,FSC,1038.33,In Stock
MAT03672,Certified Wood,Footwear,71.67,66.37,71.0,9.99,71.0,Supplier A,ISO 14001,1594.43,In Stock
MAT03673,Recycled Aluminum,Food Packaging,106.2,35.98,44.0,11.35,57.8,Supplier E,GOTS,827.51,In Stock
MAT03674,Corn Plastic,Automotive,163.62,45.4,70.0,12.4,3.6,Supplier B,FSC,2888.4,Pre-Order
MAT03675,Algae-based Material,Toys,342.9,98.74,51.1,6.74,99.4,Supplier B,None,1708.97,Pre-Order
MAT03676,Recycled Aluminum,Bags & Luggage,449.17,83.92,91.5,11.83,83.1,Supplier B,EcoCert,232.4,Pre-Order
MAT03677,Corn Plastic,Kitchen Utensils,279.56,53.84,42.9,10.2,65.2,Supplier A,EcoCert,250.66,In Stock
MAT03678,Jute,Accessories,88.93,75.87,73.2,9.69,87.3,Supplier A,FSC,3428.73,Low Stock
MAT03679,Cork Composite,Office Supplies,128.75,17.52,20.4,2.27,93.3,Supplier E,GOTS,2393.72,In Stock
MAT03680,Hemp Fiber,Accessories,414.2,11.44,85.0,7.89,5.6,Supplier D,Cradle to Cradle,1909.83,Low Stock
MAT03681,Cardboard,Cosmetics,300.53,98.77,82.6,12.29,55.9,Supplier A,FSC,2583.79,In Stock
MAT03682,Recycled Metal,Flooring,485.36,99.11,45.6,6.85,3.3,Supplier B,FSC,2172.11,Pre-Order
MAT03683,Corn Plastic,Electronics,112.51,2.28,55.0,8.18,11.1,Supplier B,GOTS,3639.55,Pre-Order
MAT03684,Cardboard,Automotive,195.22,34.82,90.4,1.43,92.3,Supplier D,Cradle to Cradle,1288.99,Low Stock
MAT03685,Flax Fiber,Home Decor,56.42,74.76,45.3,7.06,76.6,Supplier C,GOTS,1581.98,Pre-Order
MAT03686,Seaweed Polymer,Flooring,270.6,98.33,45.9,10.94,65.5,Supplier E,ISO 14001,3943.33,Pre-Order
MAT03687,Organic Cotton,Flooring,189.0,11.32,94.0,12.37,31.5,Supplier B,FSC,1889.91,Pre-Order
MAT03688,Certified Wood,Cosmetics,166.69,43.35,78.9,7.67,3.7,Supplier D,EcoCert,1633.44,In Stock
MAT03689,Bioplastic,Insulation,109.11,73.79,99.4,12.96,22.3,Supplier A,FSC,1894.89,Low Stock
MAT03690,Natural Rubber,Flooring,477.0,6.11,93.7,4.84,74.6,Supplier B,None,1537.16,In Stock
MAT03691,Cork,Insulation,293.26,25.18,69.9,13.34,13.8,Supplier D,ISO 14001,3231.19,Low Stock
MAT03692,Sustainable Bamboo,Bags & Luggage,433.15,87.51,77.8,12.87,93.9,Supplier D,FSC,2707.46,Pre-Order
MAT03693,Algae-based Material,Electronics,413.7,21.05,33.3,4.41,67.7,Supplier B,Cradle to Cradle,3647.85,In Stock
MAT03694,Linen,Textiles,335.9,75.0,51.2,2.83,93.0,Supplier D,EcoCert,2202.82,Low Stock
MAT03695,Recycled Copper,Household Items,245.89,72.61,34.4,13.44,21.6,Supplier B,None,2035.99,Pre-Order
MAT03696,Certified Wood,Household Items,240.1,75.99,80.2,10.58,41.3,Supplier B,ISO 14001,548.63,Pre-Order
MAT03697,Recycled Metal,Automotive,364.71,95.19,27.2,12.02,96.3,Supplier B,FSC,3883.57,Pre-Order
MAT03698,Cork Composite,Electronics,434.85,76.66,88.4,3.19,24.1,Supplier A,EcoCert,2475.89,Low Stock
MAT03699,Mycelium Leather,Bags & Luggage,190.35,7.38,63.1,2.88,53.9,Supplier B,ISO 14001,2276.69,Low Stock
MAT03700,Cork Composite,Electronics,35.07,23.99,52.2,0.91,90.5,Supplier B,Cradle to Cradle,797.63,Low Stock
MAT03701,Cork,Bags & Luggage,337.19,87.24,20.7,14.77,58.0,Supplier D,GOTS,3173.92,Low Stock
MAT03702,Organic Cotton,Sports Equipment,415.88,50.87,77.1,9.99,9.2,Supplier C,ISO 14001,754.47,Pre-Order
MAT03703,Jute,Automotive,426.71,41.37,62.9,6.1,96.0,Supplier D,Cradle to Cradle,1004.3,In Stock
MAT03704,Wool,Flooring,413.76,94.37,34.0,0.79,17.0,Supplier D,FSC,1606.05,Pre-Order
MAT03705,Bioplastic,Footwear,203.58,93.36,73.2,6.2,7.8,Supplier A,EcoCert,971.93,Low Stock
MAT03706,Linen,Food Packaging,60.53,16.61,51.5,13.44,51.4,Supplier B,None,223.27,Low Stock
MAT03707,Recycled Glass,Coatings,34.06,82.71,42.7,13.35,50.0,Supplier A,Cradle to Cradle,2441.03,In Stock
MAT03708,Mycelium Leather,Accessories,430.64,68.3,38.3,1.88,71.3,Supplier D,Cradle to Cradle,2913.3,In Stock
MAT03709,Cork Composite,Office Supplies,221.45,98.49,97.7,8.1,36.3,Supplier A,GOTS,1433.41,In Stock
MAT03710,Algae-based Material,Bags & Luggage,232.32,91.47,88.3,5.99,16.3,Supplier A,ISO 14001,2456.8,Pre-Order
MAT03711,Biodegradable Plastic,Flooring,162.98,43.27,22.9,11.1,77.4,Supplier A,FSC,3144.04,Low Stock
MAT03712,Biodegradable Plastic,Footwear,215.23,2.74,28.3,4.3,66.0,Supplier E,ISO 14001,959.48,Pre-Order
MAT03713,Linen,Construction,451.75,28.47,97.2,6.54,62.6,Supplier C,GOTS,2339.77,Low Stock
MAT03714,Hemp Fiber,Construction,455.5,43.63,24.5,3.08,68.3,Supplier B,EcoCert,775.22,Pre-Order
MAT03715,Cork,Home Decor,140.38,26.17,86.8,7.18,80.0,Supplier A,None,2724.89,Low Stock
MAT03716,Cork Composite,Automotive,312.11,38.11,33.5,10.09,2.6,Supplier A,Cradle to Cradle,1544.63,Low Stock
MAT03717,Recycled PET,Textiles,133.76,34.64,94.4,10.03,77.6,Supplier A,GOTS,2156.34,Low Stock
MAT03718,Recycled Aluminum,Bags & Luggage,184.85,73.82,25.3,8.66,80.0,Supplier B,GOTS,2367.16,Pre-Order
MAT03719,Bio-based Polymer,Automotive,12.84,78.52,60.6,10.24,54.9,Supplier B,ISO 14001,1586.13,Pre-Order
MAT03720,Recycled Aluminum,Home Decor,77.96,84.63,89.8,8.44,12.0,Supplier D,EcoCert,3414.62,Low Stock
MAT03721,Bio-based Polymer,Bags & Luggage,482.78,85.25,80.7,7.42,22.8,Supplier C,None,3004.6,Pre-Order
MAT03722,Sustainable Bamboo,Accessories,444.83,30.24,24.3,12.37,68.8,Supplier A,None,838.3,In Stock
MAT03723,Cardboard,Household Items,304.17,81.59,83.1,3.98,23.0,Supplier C,ISO 14001,3991.47,Pre-Order
MAT03724,Corn Plastic,Accessories,246.1,39.91,40.6,9.14,59.2,Supplier E,GOTS,781.03,Pre-Order
MAT03725,Mushroom Composite,Electronics,103.63,98.55,61.8,9.79,82.1,Supplier D,None,1311.4,In Stock
MAT03726,Corn Plastic,Construction,299.48,5.63,45.5,0.8,97.5,Supplier C,None,3169.77,Pre-Order
MAT03727,Cardboard,Textiles,173.94,3.75,45.2,8.58,91.1,Supplier B,ISO 14001,2025.2,In Stock
MAT03728,Bioplastic,Food Packaging,246.82,29.61,57.6,10.52,56.8,Supplier D,ISO 14001,2922.43,Low Stock
MAT03729,Mycelium Leather,Electronics,24.49,71.29,48.5,8.15,89.0,Supplier E,Cradle to Cradle,2905.83,Low Stock
MAT03730,Wool,Kitchen Utensils,379.61,48.41,82.5,9.18,40.5,Supplier D,FSC,3933.37,In Stock
MAT03731,Linen,Office Supplies,367.51,76.98,88.1,12.03,26.3,Supplier E,ISO 14001,755.3,Pre-Order
MAT03732,Biodegradable Plastic,Furniture,223.81,59.83,60.1,2.73,84.0,Supplier E,None,694.71,Pre-Order
MAT03733,Cellulose,Footwear,12.33,22.38,39.8,5.79,40.2,Supplier E,None,710.48,Low Stock
MAT03734,Cardboard,Toys,193.0,69.3,54.4,8.63,94.7,Supplier B,None,3892.7,Pre-Order
MAT03735,Organic Cotton,Sports Equipment,106.19,47.52,25.6,5.07,26.2,Supplier A,FSC,2745.64,Low Stock
MAT03736,Hemp Fiber,Kitchen Utensils,198.88,27.5,68.8,13.25,51.5,Supplier B,ISO 14001,3177.24,In Stock
MAT03737,Bioplastic,Home Decor,127.76,37.3,79.2,13.3,39.7,Supplier E,GOTS,2245.15,In Stock
MAT03738,Bio-based Polymer,Coatings,404.84,83.83,90.4,4.71,86.5,Supplier C,EcoCert,536.18,Pre-Order
MAT03739,Cardboard,Footwear,233.1,33.58,78.2,3.42,86.9,Supplier D,ISO 14001,1957.14,Low Stock
MAT03740,Cork Composite,Adhesives,476.85,4.95,98.6,7.15,6.8,Supplier D,GOTS,1401.04,Pre-Order
MAT03741,Cardboard,Toys,124.18,39.11,82.4,0.95,20.1,Supplier A,GOTS,2903.34,Low Stock
MAT03742,Cork,Office Supplies,275.3,85.04,66.4,13.88,51.9,Supplier C,ISO 14001,3137.4,Pre-Order
MAT03743,Wool,Kitchen Utensils,483.52,32.06,70.0,4.53,21.5,Supplier B,ISO 14001,2053.42,Pre-Order
MAT03744,Mushroom Composite,Flooring,233.59,45.94,25.5,10.92,95.3,Supplier A,Cradle to Cradle,2461.78,Low Stock
MAT03745,Mushroom Composite,Toys,98.71,41.61,44.7,1.52,3.2,Supplier C,Cradle to Cradle,2309.89,Pre-Order
MAT03746,Flax Fiber,Sports Equipment,230.13,91.38,95.3,6.08,80.9,Supplier E,ISO 14001,2931.56,Pre-Order
MAT03747,Recycled Metal,Adhesives,421.63,17.46,59.2,8.65,64.1,Supplier C,None,2293.29,In Stock
MAT03748,Mycelium Leather,Adhesives,478.09,58.67,70.0,6.36,63.8,Supplier C,None,1330.49,Pre-Order
MAT03749,Cork Composite,Bags & Luggage,439.08,20.14,77.1,1.39,79.5,Supplier D,FSC,1020.9,In Stock
MAT03750,Mushroom Composite,Bags & Luggage,190.52,40.95,59.5,7.65,12.3,Supplier C,GOTS,3159.81,Pre-Order
MAT03751,Flax Fiber,Textiles,142.78,31.24,20.4,11.32,27.2,Supplier C,Cradle to Cradle,3290.95,In Stock
MAT03752,Recycled Metal,Accessories,389.37,99.49,24.1,6.63,96.9,Supplier E,Cradle to Cradle,327.02,In Stock
MAT03753,Recycled Aluminum,Sports Equipment,266.79,16.97,78.6,7.8,89.8,Supplier C,FSC,3150.68,Low Stock
MAT03754,Cork,Household Items,136.73,59.28,58.8,12.43,59.9,Supplier C,ISO 14001,3735.83,Pre-Order
MAT03755,Bioplastic,Kitchen Utensils,347.93,81.43,52.6,12.45,32.2,Supplier C,EcoCert,1264.92,Low Stock
MAT03756,Corn Plastic,Insulation,354.1,94.06,97.4,4.03,66.7,Supplier A,None,3790.61,Low Stock
MAT03757,Cork,Adhesives,374.98,15.14,71.8,9.06,79.6,Supplier D,Cradle to Cradle,2927.41,In Stock
MAT03758,Algae-based Material,Bags & Luggage,105.57,40.73,81.4,2.05,28.9,Supplier A,GOTS,1059.91,In Stock
MAT03759,Bio-based Polymer,Home Decor,194.74,79.53,23.7,2.25,90.0,Supplier D,Cradle to Cradle,1795.29,Low Stock
MAT03760,Certified Wood,Construction,245.35,99.97,55.0,14.86,88.1,Supplier D,ISO 14001,2459.29,Low Stock
MAT03761,Jute,Furniture,373.23,33.25,52.8,12.05,29.6,Supplier D,FSC,4148.34,Pre-Order
MAT03762,Recycled Copper,Coatings,459.22,69.07,36.9,8.44,10.1,Supplier D,Cradle to Cradle,3785.63,Low Stock
MAT03763,Recycled Metal,Automotive,425.61,44.4,31.5,5.54,24.7,Supplier B,EcoCert,452.35,In Stock
MAT03764,Natural Rubber,Flooring,161.4,42.68,90.9,2.33,41.9,Supplier D,Cradle to Cradle,3457.78,Pre-Order
MAT03765,Bio-based Polymer,Food Packaging,344.21,44.15,21.7,10.56,10.7,Supplier C,ISO 14001,2994.64,Pre-Order
MAT03766,Corn Plastic,Automotive,202.51,7.4,40.6,10.67,87.1,Supplier A,FSC,2043.46,In Stock
MAT03767,Seaweed Polymer,Food Packaging,409.61,71.51,50.7,6.81,97.0,Supplier A,GOTS,1307.25,In Stock
MAT03768,Recycled Copper,Automotive,146.08,63.09,72.2,10.53,41.2,Supplier B,GOTS,2417.79,In Stock
MAT03769,Flax Fiber,Automotive,473.07,50.56,54.7,1.56,55.0,Supplier E,ISO 14001,214.14,In Stock
MAT03770,Mushroom Composite,Food Packaging,477.25,45.86,34.9,3.74,77.6,Supplier E,None,1933.07,Pre-Order
MAT03771,Linen,Footwear,184.88,83.38,30.7,2.1,11.9,Supplier C,None,1920.62,Low Stock
MAT03772,Cardboard,Electronics,188.44,95.74,69.8,5.92,56.2,Supplier C,GOTS,2284.16,In Stock
MAT03773,Recycled Metal,Furniture,178.4,67.69,66.6,12.84,69.9,Supplier B,GOTS,2514.07,Pre-Order
MAT03774,Linen,Coatings,83.73,40.52,45.1,0.86,38.3,Supplier C,ISO 14001,911.34,Low Stock
MAT03775,Sustainable Bamboo,Kitchen Utensils,402.17,95.2,89.8,6.98,95.2,Supplier E,FSC,467.29,Low Stock
MAT03776,Mushroom Composite,Household Items,298.1,22.57,86.8,3.0,80.3,Supplier C,GOTS,1230.06,Pre-Order
MAT03777,Cellulose,Electronics,337.83,62.82,59.4,10.47,11.2,Supplier D,ISO 14001,3902.66,Low Stock
MAT03778,Mycelium Leather,Office Supplies,47.7,15.72,76.0,13.78,77.0,Supplier B,FSC,1155.36,Pre-Order
MAT03779,Seaweed Polymer,Household Items,452.44,77.6,23.1,10.31,9.5,Supplier A,GOTS,4108.5,Pre-Order
MAT03780,Flax Fiber,Textiles,92.23,72.33,25.8,8.6,27.2,Supplier E,EcoCert,3251.11,Pre-Order
MAT03781,Mycelium Leather,Accessories,229.24,79.3,44.2,10.16,91.7,Supplier A,FSC,2747.3,Low Stock
MAT03782,Mushroom Composite,Textiles,248.89,92.67,40.0,11.05,52.1,Supplier E,EcoCert,238.21,Pre-Order
MAT03783,Bioplastic,Electronics,171.55,65.78,99.1,1.11,12.1,Supplier B,GOTS,229.91,Pre-Order
MAT03784,Corn Plastic,Electronics,176.56,4.3,87.1,2.13,72.2,Supplier D,None,357.73,In Stock
MAT03785,Natural Rubber,Flooring,363.12,66.07,84.8,9.07,3.8,Supplier A,FSC,900.55,In Stock
MAT03786,Organic Cotton,Sports Equipment,353.81,57.27,53.4,13.4,96.1,Supplier C,Cradle to Cradle,464.8,Low Stock
MAT03787,Corn Plastic,Sports Equipment,390.13,15.27,29.2,10.73,72.4,Supplier E,FSC,1547.12,Low Stock
MAT03788,Cork Composite,Automotive,35.27,82.01,41.4,7.88,56.0,Supplier E,None,3509.24,Pre-Order
MAT03789,Natural Rubber,Coatings,46.68,18.04,20.4,8.89,0.0,Supplier C,None,1059.08,Low Stock
MAT03790,Certified Wood,Sports Equipment,484.62,36.04,77.2,13.14,75.9,Supplier D,EcoCert,1723.08,Pre-Order
MAT03791,Organic Cotton,Furniture,21.12,98.02,69.9,12.82,30.3,Supplier E,None,3859.5,Low Stock
MAT03792,Recycled Glass,Textiles,204.99,35.82,62.3,2.59,72.4,Supplier C,FSC,3879.42,In Stock
MAT03793,Cork Composite,Construction,425.04,3.27,99.7,14.9,89.3,Supplier E,Cradle to Cradle,4066.17,Low Stock
MAT03794,Mycelium Leather,Textiles,459.26,41.91,91.4,10.21,56.9,Supplier C,Cradle to Cradle,3412.13,Low Stock
MAT03795,Natural Rubber,Insulation,204.46,50.89,21.1,5.18,50.4,Supplier C,ISO 14001,2463.44,Pre-Order
MAT03796,Hemp Fiber,Home Decor,142.93,81.74,42.3,2.54,63.9,Supplier C,EcoCert,2217.76,Pre-Order
MAT03797,Mushroom Composite,Textiles,298.86,2.5,69.0,5.91,61.3,Supplier E,Cradle to Cradle,873.99,In Stock
MAT03798,Recycled PET,Sports Equipment,347.29,14.75,53.1,3.92,80.6,Supplier B,GOTS,2038.48,In Stock
MAT03799,Algae-based Material,Furniture,310.38,61.13,80.2,5.49,33.9,Supplier E,None,4110.99,In Stock
MAT03800,Bio-based Polymer,Construction,448.07,2.76,88.9,7.71,67.8,Supplier B,EcoCert,272.24,Low Stock
MAT03801,Certified Wood,Electronics,75.42,39.27,80.7,4.65,45.5,Supplier B,GOTS,3261.07,In Stock
MAT03802,Corn Plastic,Footwear,351.29,62.51,22.5,3.65,95.0,Supplier A,EcoCert,3098.39,Low Stock
MAT03803,Corn Plastic,Sports Equipment,483.5,85.82,71.0,13.38,42.2,Supplier C,Cradle to Cradle,2103.22,Low Stock
MAT03804,Cellulose,Construction,378.07,71.53,27.8,10.1,6.2,Supplier B,EcoCert,171.81,Low Stock
MAT03805,Hemp Fiber,Toys,424.63,18.17,21.4,1.73,54.6,Supplier D,EcoCert,2033.5,Low Stock
MAT03806,Cellulose,Accessories,102.31,93.39,94.6,2.57,32.5,Supplier E,FSC,2522.37,In Stock
MAT03807,Mycelium Leather,Construction,186.44,76.65,58.2,11.66,45.6,Supplier D,None,1171.13,Low Stock
MAT03808,Recycled Paper,Automotive,497.61,66.18,61.7,13.22,18.7,Supplier C,EcoCert,563.57,Low Stock
MAT03809,Jute,Food Packaging,121.36,38.47,62.5,8.95,39.6,Supplier D,EcoCert,3217.08,Pre-Order
MAT03810,Recycled Glass,Automotive,407.55,2.57,79.8,10.17,46.2,Supplier E,EcoCert,3752.43,In Stock
MAT03811,Certified Wood,Flooring,397.88,31.8,80.2,1.31,38.3,Supplier B,None,2961.44,Pre-Order
MAT03812,Bio-based Polymer,Flooring,176.76,13.95,71.1,2.68,97.3,Supplier D,ISO 14001,1430.09,Low Stock
MAT03813,Flax Fiber,Kitchen Utensils,300.11,29.69,79.7,6.95,45.2,Supplier A,EcoCert,2813.7,Pre-Order
MAT03814,Mushroom Composite,Sports Equipment,115.47,42.01,93.6,13.16,87.0,Supplier C,None,1463.29,Low Stock
MAT03815,Seaweed Polymer,Adhesives,76.18,97.26,29.2,8.62,74.8,Supplier C,None,854.9,In Stock
MAT03816,Sustainable Bamboo,Coatings,147.58,22.16,59.0,6.63,40.1,Supplier E,Cradle to Cradle,949.52,Low Stock
MAT03817,Recycled Glass,Adhesives,472.39,87.91,74.3,8.77,70.8,Supplier B,FSC,2372.97,In Stock
MAT03818,Recycled Paper,Insulation,361.87,13.21,83.1,1.91,25.6,Supplier D,None,2176.26,Low Stock
MAT03819,Bioplastic,Food Packaging,203.61,32.65,45.7,5.19,34.0,Supplier E,ISO 14001,1175.28,Pre-Order
MAT03820,Flax Fiber,Office Supplies,228.2,63.61,82.8,14.87,1.4,Supplier A,None,2202.82,Low Stock
MAT03821,Cellulose,Home Decor,262.27,48.89,34.7,2.77,17.4,Supplier C,None,3583.11,Pre-Order
MAT03822,Recycled Aluminum,Office Supplies,217.53,70.67,30.3,4.81,51.6,Supplier C,ISO 14001,3566.51,Low Stock
MAT03823,Organic Cotton,Adhesives,237.73,74.55,25.1,9.96,86.5,Supplier B,GOTS,1186.07,In Stock
MAT03824,Jute,Toys,192.84,45.3,58.7,6.94,25.1,Supplier B,Cradle to Cradle,3042.78,Low Stock
MAT03825,Algae-based Material,Kitchen Utensils,168.11,21.47,25.6,4.84,64.7,Supplier A,GOTS,1909.0,In Stock
MAT03826,Cardboard,Kitchen Utensils,46.76,89.65,70.2,13.08,3.0,Supplier A,None,3307.55,Pre-Order
MAT03827,Bioplastic,Food Packaging,245.87,27.16,51.5,13.37,97.9,Supplier D,None,2573.0,Low Stock
MAT03828,Cardboard,Construction,398.89,89.89,80.0,7.16,75.1,Supplier B,GOTS,844.11,Low Stock
MAT03829,Jute,Flooring,331.65,25.25,99.2,1.23,15.4,Supplier D,EcoCert,3182.22,Low Stock
MAT03830,Flax Fiber,Construction,442.95,33.27,55.6,11.17,38.0,Supplier A,Cradle to Cradle,990.19,Pre-Order
MAT03831,Cork Composite,Cosmetics,375.6,66.46,34.1,10.48,65.2,Supplier D,Cradle to Cradle,1351.24,Low Stock
MAT03832,Recycled Copper,Sports Equipment,377.09,96.55,25.8,10.36,8.8,Supplier E,FSC,2593.75,Pre-Order
MAT03833,Linen,Accessories,62.59,57.74,34.1,14.45,44.1,Supplier C,GOTS,1737.19,In Stock
MAT03834,Recycled Aluminum,Food Packaging,295.7,7.3,68.4,5.38,88.9,Supplier A,ISO 14001,1762.92,Pre-Order
MAT03835,Linen,Furniture,201.13,71.39,29.4,14.86,35.9,Supplier C,ISO 14001,473.93,Low Stock
MAT03836,Mushroom Composite,Toys,436.36,96.54,84.8,12.78,5.5,Supplier E,ISO 14001,1362.86,In Stock
MAT03837,Cork,Home Decor,384.92,89.31,35.6,14.02,72.9,Supplier B,EcoCert,3148.19,Low Stock
MAT03838,Certified Wood,Automotive,246.54,63.23,33.1,12.13,31.7,Supplier D,Cradle to Cradle,3151.51,Low Stock
MAT03839,Cardboard,Food Packaging,173.97,30.52,67.4,10.86,3.7,Supplier B,None,521.24,Pre-Order
MAT03840,Bioplastic,Office Supplies,308.4,60.53,27.7,4.74,54.9,Supplier D,ISO 14001,4046.25,In Stock
MAT03841,Wool,Construction,291.2,22.47,75.6,2.02,98.1,Supplier E,FSC,1723.91,Low Stock
MAT03842,Corn Plastic,Household Items,216.14,16.5,40.0,11.49,84.4,Supplier C,Cradle to Cradle,1309.74,Low Stock
MAT03843,Sustainable Bamboo,Construction,373.51,99.09,62.1,3.01,62.5,Supplier E,GOTS,1657.51,Low Stock
MAT03844,Cork Composite,Cosmetics,241.73,66.98,92.6,5.37,60.0,Supplier C,GOTS,784.35,In Stock
MAT03845,Flax Fiber,Insulation,168.35,49.53,22.1,14.83,43.7,Supplier B,FSC,189.24,Pre-Order
MAT03846,Cork Composite,Automotive,308.09,23.06,38.8,14.28,54.3,Supplier E,Cradle to Cradle,1913.98,In Stock
MAT03847,Certified Wood,Furniture,181.87,90.64,71.9,4.85,94.3,Supplier C,None,1801.93,Low Stock
MAT03848,Mycelium Leather,Sports Equipment,145.72,36.63,22.7,10.42,89.7,Supplier A,ISO 14001,1143.74,Pre-Order
MAT03849,Certified Wood,Food Packaging,267.9,5.86,63.2,5.08,74.0,Supplier C,ISO 14001,3427.9,Pre-Order
MAT03850,Wool,Bags & Luggage,276.04,65.4,45.6,0.65,0.2,Supplier E,None,3769.86,Low Stock
MAT03851,Cardboard,Coatings,250.99,96.65,40.3,6.81,58.8,Supplier E,Cradle to Cradle,1944.69,Low Stock
MAT03852,Cork,Office Supplies,395.04,30.27,81.0,4.01,21.9,Supplier D,Cradle to Cradle,1362.86,Low Stock
MAT03853,Recycled Copper,Adhesives,210.13,23.66,96.2,8.87,86.1,Supplier D,FSC,788.5,Pre-Order
MAT03854,Organic Cotton,Coatings,463.19,35.15,34.5,7.53,20.7,Supplier D,FSC,3695.99,Low Stock
MAT03855,Natural Rubber,Food Packaging,168.33,17.29,68.0,0.63,90.8,Supplier D,FSC,181.77,Low Stock
MAT03856,Biodegradable Plastic,Coatings,244.32,91.0,65.1,2.88,7.6,Supplier E,Cradle to Cradle,1581.98,Low Stock
MAT03857,Hemp Fiber,Sports Equipment,195.05,57.64,80.1,14.07,58.1,Supplier A,Cradle to Cradle,2582.13,Low Stock
MAT03858,Cardboard,Accessories,200.54,37.12,69.1,9.86,52.7,Supplier C,EcoCert,2253.45,Pre-Order
MAT03859,Bioplastic,Home Decor,452.55,87.34,56.2,4.05,80.0,Supplier C,GOTS,2604.54,Low Stock
MAT03860,Seaweed Polymer,Coatings,467.03,7.39,54.8,12.74,32.0,Supplier C,Cradle to Cradle,1516.41,Low Stock
MAT03861,Cardboard,Household Items,126.13,64.38,26.3,3.72,27.4,Supplier C,Cradle to Cradle,1978.72,In Stock
MAT03862,Seaweed Polymer,Coatings,49.88,55.28,65.0,8.03,33.2,Supplier E,FSC,2128.95,In Stock
MAT03863,Recycled Copper,Automotive,408.85,5.01,82.3,13.81,32.4,Supplier C,GOTS,214.97,Pre-Order
MAT03864,Organic Cotton,Toys,122.76,32.89,49.1,0.97,72.9,Supplier B,GOTS,433.26,Low Stock
MAT03865,Bio-based Polymer,Footwear,210.29,86.11,79.2,7.31,98.1,Supplier B,FSC,917.15,In Stock
MAT03866,Cork Composite,Sports Equipment,174.76,21.02,90.2,3.32,71.4,Supplier D,GOTS,2606.2,Pre-Order
MAT03867,Wool,Insulation,19.87,40.2,84.8,7.8,73.0,Supplier D,ISO 14001,644.08,Pre-Order
MAT03868,Cardboard,Insulation,249.51,63.29,70.6,7.81,86.0,Supplier D,FSC,748.66,Low Stock
MAT03869,Jute,Accessories,33.23,93.26,56.5,8.93,81.3,Supplier D,Cradle to Cradle,3053.57,Low Stock
MAT03870,Biodegradable Plastic,Adhesives,254.76,57.37,59.9,12.25,93.0,Supplier A,None,4054.55,Pre-Order
MAT03871,Recycled Glass,Household Items,498.02,66.51,55.5,2.54,40.0,Supplier A,None,3931.71,In Stock
MAT03872,Biodegradable Plastic,Toys,309.96,71.36,75.2,2.64,35.6,Supplier B,GOTS,1952.99,Low Stock
MAT03873,Linen,Accessories,17.69,62.49,73.7,11.2,42.5,Supplier D,Cradle to Cradle,648.23,Low Stock
MAT03874,Cork,Adhesives,280.06,77.29,78.0,11.93,16.5,Supplier C,EcoCert,3359.01,In Stock
MAT03875,Flax Fiber,Adhesives,395.4,84.9,56.8,1.0,50.6,Supplier A,Cradle to Cradle,2161.32,Low Stock
MAT03876,Flax Fiber,Bags & Luggage,384.76,69.38,84.5,5.79,74.2,Supplier D,FSC,1515.58,Low Stock
MAT03877,Mushroom Composite,Furniture,436.51,94.61,22.7,7.07,69.8,Supplier A,FSC,261.45,In Stock
MAT03878,Jute,Coatings,213.55,18.99,82.4,8.25,31.8,Supplier E,Cradle to Cradle,2347.24,In Stock
MAT03879,Corn Plastic,Automotive,246.92,94.49,94.9,3.75,56.9,Supplier B,ISO 14001,3409.64,Low Stock
MAT03880,Recycled Copper,Adhesives,93.62,9.36,57.9,7.45,0.3,Supplier B,EcoCert,3697.65,In Stock
MAT03881,Corn Plastic,Flooring,192.27,22.36,52.6,4.28,92.1,Supplier D,EcoCert,979.4,In Stock
MAT03882,Jute,Toys,89.32,54.04,54.0,10.17,4.6,Supplier D,GOTS,1756.28,Low Stock
MAT03883,Recycled Aluminum,Home Decor,229.96,25.11,93.1,11.97,29.1,Supplier C,None,3396.36,Pre-Order
MAT03884,Wool,Toys,245.88,66.24,48.3,0.67,3.9,Supplier E,None,1473.25,Pre-Order
MAT03885,Recycled Copper,Flooring,278.58,3.55,63.2,5.14,32.5,Supplier B,GOTS,1948.84,Low Stock
MAT03886,Mushroom Composite,Footwear,380.48,78.63,70.3,1.17,2.1,Supplier A,ISO 14001,1313.89,Low Stock
MAT03887,Sustainable Bamboo,Home Decor,39.04,47.22,96.0,11.56,58.0,Supplier D,ISO 14001,631.63,Pre-Order
MAT03888,Wool,Textiles,219.78,68.37,29.2,5.48,36.7,Supplier D,ISO 14001,1689.88,In Stock
